Days of production;Pond Identifier;Temperature in the Morning;Temperature n the Afternoon;Temperature in the Evening;Feed per day (kg of shrimp feed);TAN ppm;Phosphate ppm;Phytoplankton cells/ml;;;;;;;;;;;;;;;
65;A5;29;30;30;-;;;;;;;;;;;;;;;;;;
66;A5;29;31;30;30;0,621;0,35;14.000;;;;;;;;;;;;;;;
67;A5;29;31;30;30;;;;;;;;;;;;;;;;;;
68;A5;28;29;28;30;;;;;;;;;;;;;;;;;;
69;A5;27;29;29;30;0,419;0,403;14.500;;;;;;;;;;;;;;;
70;A5;28;30;29;30;;;;;;;;;;;;;;;;;;
71;A5;28;30;29;30;;;;;;;;;;;;;;;;;;
72;A5;28;30;28;-;;;;;;;;;;;;;;;;;;
73;A5;27;29;29;32;0,386;0,191;13.600;;;;;;;;;;;;;;;
74;A5;28;30;29;32;;;;;;;;;;;;;;;;;;
75;A5;28;30;29;34;;;;;;;;;;;;;;;;;;
76;A5;28;29;28;34;0,283;0,199;17.000;;;;;;;;;;;;;;;
77;A5;28;29;29;5;;;;;;;;;;;;;;;;;;
78;A5;28;30;29;26;;;;;;;;;;;;;;;;;;
79;A5;28;30;29;26;;;;;;;;;;;;;;;;;;
80;A5;28;30;29;20;0,415;0,261;18.000;;;;;;;;;;;;;;;
81;A5;28;29;29;20;;;;;;;;;;;;;;;;;;
82;A5;28;30;30;20;;;;;;;;;;;;;;;;;;
83;A5;28;30;29;20;1,798;0,174;13.000;;;;;;;;;;;;;;;
84;A5;28;30;29;20;;;;;;;;;;;;;;;;;;
85;A5;29;31;30;20;;;;;;;;;;;;;;;;;;
86;A5;28;31;30;-;;;;;;;;;;;;;;;;;;
87;A5;29;30;29;20;1,912;0,311;16.000;;;;;;;;;;;;;;;
88;A5;28;28;28;20;;;;;;;;;;;;;;;;;;
89;A5;27;29;28;20;;;;;;;;;;;;;;;;;;
90;A5;27;28;28;20;0,912;0,113;16.000;;;;;;;;;;;;;;;
91;A5;27;29;29;20;;;;;;;;;;;;;;;;;;
92;A5;28;29;29;20;;;;;;;;;;;;;;;;;;
93;A5;28;28;28;20;;;;;;;;;;;;;;;;;;
94;A5;27;28;28;20;;;;;;;;;;;;;;;;;;
1;A6;30;31;29;3,5;;;;;;;;;;;;;;;;;;
2;A6;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;A6;30;32;31;4;0,863;0,07;2.500;;;;;;;;;;;;;;;
4;A6;30;32;30;4;;;;;;;;;;;;;;;;;;
5;A6;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;A6;27;27;27;4,5;1,221;0,104;4.500;;;;;;;;;;;;;;;
7;A6;26;29;29;5;;;;;;;;;;;;;;;;;;
8;A6;28;30;30;5;;;;;;;;;;;;;;;;;;
9;A6;28;29;29;6;;;;;;;;;;;;;;;;;;
10;A6;28;29;28;7;0,426;0,056;6.000;;;;;;;;;;;;;;;
11;A6;27;30;29;7,5;;;;;;;;;;;;;;;;;;
12;A6;29;30;29;8;;;;;;;;;;;;;;;;;;
13;A6;29;30;29;8,5;1,235;0,123;3.500;;;;;;;;;;;;;;;
14;A6;28;30;30;9;;;;;;;;;;;;;;;;;;
15;A6;28;30;31;9,5;;;;;;;;;;;;;;;;;;
16;A6;29;32;31;10;;;;;;;;;;;;;;;;;;
17;A6;29;32;30;10,5;1,81;0,197;4.000;;;;;;;;;;;;;;;
18;A6;29;30;30;11;;;;;;;;;;;;;;;;;;
19;A6;30;30;30;11,5;;;;;;;;;;;;;;;;;;
20;A6;29;31;30;12;1,1;0,19;4.000;;;;;;;;;;;;;;;
21;A6;29;31;30;12,5;;;;;;;;;;;;;;;;;;
22;A6;28;31;30;14;;;;;;;;;;;;;;;;;;
23;A6;30;32;31;18;;;;;;;;;;;;;;;;;;
24;A6;30;30;30;19;0,845;0,076;3.500;;;;;;;;;;;;;;;
25;A6;30;31;31;20,5;;;;;;;;;;;;;;;;;;
26;A6;30;32;31;21,5;;;;;;;;;;;;;;;;;;
27;A6;31;32;31;23;0,886;0,112;5.500;;;;;;;;;;;;;;;
28;A6;29;31;30;24;;;;;;;;;;;;;;;;;;
29;A6;29;31;31;25,5;;;;;;;;;;;;;;;;;;
30;A6;29;31;30;26,5;;;;;;;;;;;;;;;;;;
31;A6;29;30;29;25;0,854;0,073;5.500;;;;;;;;;;;;;;;
32;A6;28;31;30;-;;;;;;;;;;;;;;;;;;
33;A6;29;31;30;22;;;;;;;;;;;;;;;;;;
34;A6;29;32;30;22;0,333;0,194;12.000;;;;;;;;;;;;;;;
35;A6;29;31;30;21;;;;;;;;;;;;;;;;;;
36;A6;29;32;30;22;;;;;;;;;;;;;;;;;;
37;A6;29;32;31;23;;;;;;;;;;;;;;;;;;
38;A6;29;30;30;23;0,559;0,216;10.000;;;;;;;;;;;;;;;
39;A6;28;31;29;25;;;;;;;;;;;;;;;;;;
40;A6;28;31;30;26;;;;;;;;;;;;;;;;;;
41;A6;29;32;30;24;0,736;0,273;9.000;;;;;;;;;;;;;;;
42;A6;29;32;31;-;;;;;;;;;;;;;;;;;;
43;A6;29;31;31;-;;;;;;;;;;;;;;;;;;
44;A6;30;31;30;12;;;;;;;;;;;;;;;;;;
45;A6;30;32;31;22;0,2;0,124;10.000;;;;;;;;;;;;;;;
46;A6;30;31;31;24;;;;;;;;;;;;;;;;;;
47;A6;30;32;31;25;;;;;;;;;;;;;;;;;;
48;A6;30;31;30;26;0,25;0,134;15.000;;;;;;;;;;;;;;;
49;A6;29;31;30;28;;;;;;;;;;;;;;;;;;
50;A6;29;31;30;8;;;;;;;;;;;;;;;;;;
51;A6;29;31;30;-;;;;;;;;;;;;;;;;;;
52;A6;29;31;30;28;0,253;0,042;14.500;;;;;;;;;;;;;;;
53;A6;29;30;30;34;;;;;;;;;;;;;;;;;;
54;A6;29;31;30;31;;;;;;;;;;;;;;;;;;
55;A6;30;32;31;32;0,144;0,038;13.000;;;;;;;;;;;;;;;
56;A6;30;32;31;34;;;;;;;;;;;;;;;;;;
57;A6;29;31;30;28;;;;;;;;;;;;;;;;;;
58;A6;29;31;30;24;;;;;;;;;;;;;;;;;;
59;A6;29;30;29;24;0,335;0,351;11.000;;;;;;;;;;;;;;;
60;A6;28;28;28;26;;;;;;;;;;;;;;;;;;
61;A6;27;29;29;-;;;;;;;;;;;;;;;;;;
62;A6;28;30;29;26;0,153;0,101;12.500;;;;;;;;;;;;;;;
63;A6;28;30;29;26;;;;;;;;;;;;;;;;;;
64;A6;28;30;30;26;;;;;;;;;;;;;;;;;;
65;A6;29;30;30;-;;;;;;;;;;;;;;;;;;
66;A6;29;31;30;28;0,231;0,234;12.000;;;;;;;;;;;;;;;
67;A6;28;30;30;-;;;;;;;;;;;;;;;;;;
68;A6;29;29;29;28;;;;;;;;;;;;;;;;;;
69;A6;27;29;29;28;0,52;0,124;13.000;;;;;;;;;;;;;;;
70;A6;28;30;30;28;;;;;;;;;;;;;;;;;;
71;A6;28;29;29;28;;;;;;;;;;;;;;;;;;
72;A6;28;30;28;-;;;;;;;;;;;;;;;;;;
73;A6;27;29;29;30;0,662;0,127;14.000;;;;;;;;;;;;;;;
74;A6;28;30;30;32;;;;;;;;;;;;;;;;;;
75;A6;28;30;29;34;;;;;;;;;;;;;;;;;;
76;A6;28;29;28;34;0,465;0,129;21.000;;;;;;;;;;;;;;;
77;A6;27;29;29;5;;;;;;;;;;;;;;;;;;
78;A6;28;30;29;26;;;;;;;;;;;;;;;;;;
79;A6;28;30;29;26;;;;;;;;;;;;;;;;;;
80;A6;29;30;29;20;0,631;0,247;12.000;;;;;;;;;;;;;;;
81;A6;28;29;29;20;;;;;;;;;;;;;;;;;;
82;A6;28;30;30;20;;;;;;;;;;;;;;;;;;
83;A6;29;30;29;20;0,946;0,222;12.000;;;;;;;;;;;;;;;
84;A6;28;30;29;20;;;;;;;;;;;;;;;;;;
85;A6;29;31;30;20;;;;;;;;;;;;;;;;;;
86;A6;29;31;30;-;;;;;;;;;;;;;;;;;;
87;A6;29;30;29;20;0,982;0,401;16.000;;;;;;;;;;;;;;;
88;A6;28;28;28;20;;;;;;;;;;;;;;;;;;
89;A6;27;29;28;20;;;;;;;;;;;;;;;;;;
90;A6;27;28;28;20;1,391;0,158;16.000;;;;;;;;;;;;;;;
91;A6;27;29;29;20;;;;;;;;;;;;;;;;;;
92;A6;27;29;29;20;;;;;;;;;;;;;;;;;;
93;A6;28;28;28;20;;;;;;;;;;;;;;;;;;
94;A6;27;28;28;20;;;;;;;;;;;;;;;;;;
1;A7;29;30;30;3,5;;;;;;;;;;;;;;;;;;
2;A7;30;32;30;3,5;;;;;;;;;;;;;;;;;;
3;A7;29;32;31;4;0,564;0,046;2.500;;;;;;;;;;;;;;;
4;A7;30;33;31;4;;;;;;;;;;;;;;;;;;
5;A7;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;A7;27;27;27;4,5;0,954;0,07;4.500;;;;;;;;;;;;;;;
7;A7;26;29;29;5;;;;;;;;;;;;;;;;;;
8;A7;28;30;29;5;;;;;;;;;;;;;;;;;;
9;A7;28;29;29;6;;;;;;;;;;;;;;;;;;
10;A7;28;29;28;7;0,354;0,054;4.000;;;;;;;;;;;;;;;
11;A7;27;30;29;7,5;;;;;;;;;;;;;;;;;;
12;A7;29;30;30;8;;;;;;;;;;;;;;;;;;
13;A7;29;31;29;8,5;0,577;0,059;3.500;;;;;;;;;;;;;;;
14;A7;29;30;30;9;;;;;;;;;;;;;;;;;;
15;A7;29;31;31;9,5;;;;;;;;;;;;;;;;;;
16;A7;29;32;31;10;;;;;;;;;;;;;;;;;;
17;A7;29;32;31;10,5;1,112;0,148;3.000;;;;;;;;;;;;;;;
18;A7;29;30;29;11;;;;;;;;;;;;;;;;;;
19;A7;30;30;30;11,5;;;;;;;;;;;;;;;;;;
20;A7;29;31;30;12;0,703;0,187;4.000;;;;;;;;;;;;;;;
21;A7;29;31;29;12,5;;;;;;;;;;;;;;;;;;
22;A7;28;31;30;14;;;;;;;;;;;;;;;;;;
23;A7;30;32;31;18;;;;;;;;;;;;;;;;;;
24;A7;30;30;30;19;0,911;0,111;7.500;;;;;;;;;;;;;;;
25;A7;29;31;31;20,5;;;;;;;;;;;;;;;;;;
26;A7;29;32;31;21,5;;;;;;;;;;;;;;;;;;
27;A7;30;32;30;23;0,774;0,136;9.500;;;;;;;;;;;;;;;
28;A7;30;31;31;24;;;;;;;;;;;;;;;;;;
29;A7;30;31;30;25,5;;;;;;;;;;;;;;;;;;
30;A7;29;31;29;26,5;;;;;;;;;;;;;;;;;;
31;A7;29;30;29;26;0,565;0,109;7.500;;;;;;;;;;;;;;;
32;A7;28;31;30;-;;;;;;;;;;;;;;;;;;
33;A7;29;32;30;24;;;;;;;;;;;;;;;;;;
34;A7;29;32;30;25;0,441;0,246;9.000;;;;;;;;;;;;;;;
35;A7;29;31;29;26;;;;;;;;;;;;;;;;;;
36;A7;29;32;30;27;;;;;;;;;;;;;;;;;;
37;A7;29;32;31;27;;;;;;;;;;;;;;;;;;
38;A7;29;31;30;28;0,636;0,218;8.000;;;;;;;;;;;;;;;
39;A7;28;31;30;30;;;;;;;;;;;;;;;;;;
40;A7;29;31;30;31;;;;;;;;;;;;;;;;;;
41;A7;29;31;30;32;0,575;0,25;8.500;;;;;;;;;;;;;;;
42;A7;29;31;31;-;;;;;;;;;;;;;;;;;;
43;A7;29;31;30;-;;;;;;;;;;;;;;;;;;
44;A7;30;31;31;12;;;;;;;;;;;;;;;;;;
45;A7;29;32;31;30;0,265;0,116;9.500;;;;;;;;;;;;;;;
46;A7;29;31;31;34;;;;;;;;;;;;;;;;;;
47;A7;30;32;31;35;;;;;;;;;;;;;;;;;;
48;A7;30;31;30;36;1,026;0,171;9.500;;;;;;;;;;;;;;;
49;A7;29;31;30;38;;;;;;;;;;;;;;;;;;
50;A7;29;31;30;38;;;;;;;;;;;;;;;;;;
51;A7;29;31;30;-;;;;;;;;;;;;;;;;;;
52;A7;29;31;30;40;0,654;0,21;8.500;;;;;;;;;;;;;;;
53;A7;29;30;30;42;;;;;;;;;;;;;;;;;;
54;A7;29;31;30;44;;;;;;;;;;;;;;;;;;
55;A7;30;31;31;48;0,845;0,247;11.000;;;;;;;;;;;;;;;
56;A7;30;31;31;50;;;;;;;;;;;;;;;;;;
57;A7;29;31;30;54;;;;;;;;;;;;;;;;;;
58;A7;29;31;30;50;;;;;;;;;;;;;;;;;;
59;A7;29;30;29;46;0,518;0,282;12.000;;;;;;;;;;;;;;;
60;A7;28;29;28;-;;;;;;;;;;;;;;;;;;
61;A7;27;29;29;44;;;;;;;;;;;;;;;;;;
62;A7;28;30;29;46;0,847;0,339;10.500;;;;;;;;;;;;;;;
63;A7;28;30;30;46;;;;;;;;;;;;;;;;;;
64;A7;29;30;30;46;;;;;;;;;;;;;;;;;;
65;A7;29;30;30;-;;;;;;;;;;;;;;;;;;
66;A7;29;30;30;48;0,756;0,306;8.000;;;;;;;;;;;;;;;
67;A7;29;31;30;48;;;;;;;;;;;;;;;;;;
68;A7;28;29;28;48;;;;;;;;;;;;;;;;;;
69;A7;27;29;29;48;0,865;0,223;10.500;;;;;;;;;;;;;;;
70;A7;28;30;29;50;;;;;;;;;;;;;;;;;;
71;A7;29;29;29;52;;;;;;;;;;;;;;;;;;
72;A7;28;30;29;-;;;;;;;;;;;;;;;;;;
73;A7;27;29;29;56;0,587;0,038;11.500;;;;;;;;;;;;;;;
74;A7;28;30;29;58;;;;;;;;;;;;;;;;;;
75;A7;28;30;29;60;;;;;;;;;;;;;;;;;;
76;A7;28;29;28;60;0,787;0,201;16.500;;;;;;;;;;;;;;;
77;A7;27;29;29;5;;;;;;;;;;;;;;;;;;
78;A7;28;30;29;44;;;;;;;;;;;;;;;;;;
79;A7;28;30;29;40;;;;;;;;;;;;;;;;;;
80;A7;28;30;29;40;0,685;0,362;16.000;;;;;;;;;;;;;;;
81;A7;28;29;29;44;;;;;;;;;;;;;;;;;;
82;A7;28;30;30;44;;;;;;;;;;;;;;;;;;
83;A7;29;30;29;44;0,512;0,173;14.700;;;;;;;;;;;;;;;
84;A7;28;30;30;44;;;;;;;;;;;;;;;;;;
85;A7;28;31;30;30;;;;;;;;;;;;;;;;;;
86;A7;29;31;30;-;;;;;;;;;;;;;;;;;;
87;A7;29;30;29;30;0,778;0,309;17.500;;;;;;;;;;;;;;;
88;A7;28;28;28;44;;;;;;;;;;;;;;;;;;
89;A7;27;29;28;44;;;;;;;;;;;;;;;;;;
90;A7;27;28;27;44;1,901;0,206;15.500;;;;;;;;;;;;;;;
91;A7;27;29;29;44;;;;;;;;;;;;;;;;;;
92;A7;28;29;29;44;;;;;;;;;;;;;;;;;;
93;A7;28;28;28;44;;;;;;;;;;;;;;;;;;
94;A7;27;28;28;44;;;;;;;;;;;;;;;;;;
1;A8;29;30;30;3,5;;;;;;;;;;;;;;;;;;
2;A8;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;A8;29;32;31;4;0,52;0,064;2.500;;;;;;;;;;;;;;;
4;A8;30;32;31;4;;;;;;;;;;;;;;;;;;
5;A8;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;A8;27;27;27;4,5;0,713;0,042;3.500;;;;;;;;;;;;;;;
7;A8;26;29;29;5;;;;;;;;;;;;;;;;;;
8;A8;28;30;29;5;;;;;;;;;;;;;;;;;;
9;A8;28;29;29;6;;;;;;;;;;;;;;;;;;
10;A8;28;29;29;7;0,298;0,033;4.000;;;;;;;;;;;;;;;
11;A8;27;30;29;7,5;;;;;;;;;;;;;;;;;;
12;A8;29;30;30;8;;;;;;;;;;;;;;;;;;
13;A8;29;31;29;8,5;1,142;0,111;4.500;;;;;;;;;;;;;;;
14;A8;29;30;30;9;;;;;;;;;;;;;;;;;;
15;A8;29;31;31;9,5;;;;;;;;;;;;;;;;;;
16;A8;30;32;31;10;;;;;;;;;;;;;;;;;;
17;A8;30;32;31;10,5;1,519;0,174;2.500;;;;;;;;;;;;;;;
18;A8;29;30;29;11;;;;;;;;;;;;;;;;;;
19;A8;30;30;30;11,5;;;;;;;;;;;;;;;;;;
20;A8;29;31;30;12;0,558;0,118;4.000;;;;;;;;;;;;;;;
21;A8;29;31;30;12,5;;;;;;;;;;;;;;;;;;
22;A8;29;32;30;13,5;;;;;;;;;;;;;;;;;;
23;A8;29;32;31;18;;;;;;;;;;;;;;;;;;
24;A8;30;30;30;19;0,442;0,097;5.500;;;;;;;;;;;;;;;
25;A8;29;31;31;20,5;;;;;;;;;;;;;;;;;;
26;A8;29;32;31;21,5;;;;;;;;;;;;;;;;;;
27;A8;30;32;31;23;0,66;0,164;7.000;;;;;;;;;;;;;;;
28;A8;30;31;31;24;;;;;;;;;;;;;;;;;;
29;A8;30;31;31;25,5;;;;;;;;;;;;;;;;;;
30;A8;30;31;30;26,5;;;;;;;;;;;;;;;;;;
31;A8;29;30;30;26;0,445;0,113;6.000;;;;;;;;;;;;;;;
32;A8;28;31;31;-;;;;;;;;;;;;;;;;;;
33;A8;29;32;30;18;;;;;;;;;;;;;;;;;;
34;A8;29;31;30;21;0,161;0,112;8.000;;;;;;;;;;;;;;;
35;A8;29;31;30;21;;;;;;;;;;;;;;;;;;
36;A8;29;32;31;22;;;;;;;;;;;;;;;;;;
37;A8;29;32;31;23;;;;;;;;;;;;;;;;;;
38;A8;29;30;30;23;0,208;0,142;10.500;;;;;;;;;;;;;;;
39;A8;28;31;30;25;;;;;;;;;;;;;;;;;;
40;A8;29;31;30;26;;;;;;;;;;;;;;;;;;
41;A8;29;32;30;24;0,481;0,137;7.000;;;;;;;;;;;;;;;
42;A8;29;31;31;-;;;;;;;;;;;;;;;;;;
43;A8;29;31;30;-;;;;;;;;;;;;;;;;;;
44;A8;30;31;31;6;;;;;;;;;;;;;;;;;;
45;A8;29;32;31;22;0,178;0,083;11.000;;;;;;;;;;;;;;;
46;A8;30;31;31;24;;;;;;;;;;;;;;;;;;
47;A8;30;32;31;25;;;;;;;;;;;;;;;;;;
48;A8;30;31;30;26;0,988;0,144;12.500;;;;;;;;;;;;;;;
49;A8;29;31;30;28;;;;;;;;;;;;;;;;;;
50;A8;29;31;30;-;;;;;;;;;;;;;;;;;;
51;A8;29;31;30;-;;;;;;;;;;;;;;;;;;
52;A8;29;31;30;24;0,332;0,09;12.500;;;;;;;;;;;;;;;
53;A8;29;30;30;25;;;;;;;;;;;;;;;;;;
54;A8;29;31;30;26;;;;;;;;;;;;;;;;;;
55;A8;30;31;31;27;0,151;0,083;12.000;;;;;;;;;;;;;;;
56;A8;30;31;31;28,5;;;;;;;;;;;;;;;;;;
57;A8;29;31;30;26;;;;;;;;;;;;;;;;;;
58;A8;29;31;30;26;;;;;;;;;;;;;;;;;;
59;A8;29;30;29;24;0,216;0,167;10.000;;;;;;;;;;;;;;;
60;A8;28;29;28;-;;;;;;;;;;;;;;;;;;
61;A8;27;29;29;28;;;;;;;;;;;;;;;;;;
62;A8;28;30;29;-;0,428;0,204;13.500;;;;;;;;;;;;;;;
63;A8;28;30;30;28;;;;;;;;;;;;;;;;;;
64;A8;29;30;30;28;;;;;;;;;;;;;;;;;;
65;A8;29;30;29;-;;;;;;;;;;;;;;;;;;
66;A8;28;31;30;30;0,582;0,35;11.000;;;;;;;;;;;;;;;
67;A8;29;31;30;-;;;;;;;;;;;;;;;;;;
68;A8;28;29;29;30;;;;;;;;;;;;;;;;;;
69;A8;27;29;29;30;0,749;0,213;11.000;;;;;;;;;;;;;;;
70;A8;28;30;30;30;;;;;;;;;;;;;;;;;;
71;A8;29;29;29;30;;;;;;;;;;;;;;;;;;
72;A8;28;29;28;-;;;;;;;;;;;;;;;;;;
73;A8;27;29;29;32;0,885;0,194;14.000;;;;;;;;;;;;;;;
74;A8;28;30;30;32;;;;;;;;;;;;;;;;;;
75;A8;28;30;29;34;;;;;;;;;;;;;;;;;;
76;A8;28;29;28;34;0,516;0,226;21.000;;;;;;;;;;;;;;;
77;A8;27;-;-;-;;;;;;;;;;;;;;;;;;
1;A9;29;30;30;3,5;;;;;;;;;;;;;;;;;;
2;A9;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;A9;29;32;31;4;0,401;0,053;2.000;;;;;;;;;;;;;;;
4;A9;30;32;31;4;;;;;;;;;;;;;;;;;;
5;A9;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;A9;27;27;27;4,5;0,983;0,069;2.500;;;;;;;;;;;;;;;
7;A9;26;29;29;5;;;;;;;;;;;;;;;;;;
8;A9;28;30;29;5;;;;;;;;;;;;;;;;;;
9;A9;29;29;29;6;;;;;;;;;;;;;;;;;;
10;A9;28;29;29;7;0,233;0,04;4.500;;;;;;;;;;;;;;;
11;A9;28;30;29;7,5;;;;;;;;;;;;;;;;;;
12;A9;29;30;30;8;;;;;;;;;;;;;;;;;;
13;A9;29;30;30;8,5;1,145;0,102;3.500;;;;;;;;;;;;;;;
14;A9;29;30;30;9;;;;;;;;;;;;;;;;;;
15;A9;29;31;30;9,5;;;;;;;;;;;;;;;;;;
16;A9;29;32;31;10;;;;;;;;;;;;;;;;;;
17;A9;30;32;31;10,5;1,63;0,184;4.000;;;;;;;;;;;;;;;
18;A9;29;30;29;11;;;;;;;;;;;;;;;;;;
19;A9;30;30;30;11,5;;;;;;;;;;;;;;;;;;
20;A9;29;31;30;12;0,573;0,177;4.000;;;;;;;;;;;;;;;
21;A9;29;31;30;12,5;;;;;;;;;;;;;;;;;;
22;A9;29;31;30;14;;;;;;;;;;;;;;;;;;
23;A9;30;32;31;18;;;;;;;;;;;;;;;;;;
24;A9;30;30;30;19;0,546;0,14;6.000;;;;;;;;;;;;;;;
25;A9;29;31;31;20,5;;;;;;;;;;;;;;;;;;
26;A9;30;32;31;21,5;;;;;;;;;;;;;;;;;;
27;A9;30;32;31;23;0,212;0,121;9.500;;;;;;;;;;;;;;;
28;A9;30;31;31;24;;;;;;;;;;;;;;;;;;
29;A9;30;31;31;25,5;;;;;;;;;;;;;;;;;;
30;A9;30;31;30;26,5;;;;;;;;;;;;;;;;;;
31;A9;29;30;29;24;0,618;0,183;10.000;;;;;;;;;;;;;;;
32;A9;28;31;30;-;;;;;;;;;;;;;;;;;;
33;A9;29;32;30;24;;;;;;;;;;;;;;;;;;
34;A9;29;31;30;25;0,394;0,182;8.000;;;;;;;;;;;;;;;
35;A9;29;31;30;26;;;;;;;;;;;;;;;;;;
36;A9;29;32;30;24;;;;;;;;;;;;;;;;;;
37;A9;29;32;31;25;;;;;;;;;;;;;;;;;;
38;A9;29;30;30;26;0,214;0,181;9.500;;;;;;;;;;;;;;;
39;A9;29;31;30;28;;;;;;;;;;;;;;;;;;
40;A9;29;31;30;29;;;;;;;;;;;;;;;;;;
41;A9;29;32;30;30;0,179;0,162;8.500;;;;;;;;;;;;;;;
42;A9;29;31;31;-;;;;;;;;;;;;;;;;;;
43;A9;29;31;30;-;;;;;;;;;;;;;;;;;;
44;A9;30;31;31;14;;;;;;;;;;;;;;;;;;
45;A9;30;32;31;30;0,216;0,047;12.500;;;;;;;;;;;;;;;
46;A9;29;31;31;32;;;;;;;;;;;;;;;;;;
47;A9;30;32;31;33;;;;;;;;;;;;;;;;;;
48;A9;30;31;30;34;0,319;0,069;11.500;;;;;;;;;;;;;;;
49;A9;29;31;30;35;;;;;;;;;;;;;;;;;;
50;A9;29;31;30;-;;;;;;;;;;;;;;;;;;
51;A9;29;31;30;-;;;;;;;;;;;;;;;;;;
52;A9;29;31;30;26;0,242;0,04;12.000;;;;;;;;;;;;;;;
53;A9;29;30;30;28;;;;;;;;;;;;;;;;;;
54;A9;29;31;30;32;;;;;;;;;;;;;;;;;;
55;A9;30;32;31;34;0,186;0,099;10.500;;;;;;;;;;;;;;;
56;A9;30;32;31;36;;;;;;;;;;;;;;;;;;
57;A9;29;31;30;40;;;;;;;;;;;;;;;;;;
58;A9;29;31;30;42;;;;;;;;;;;;;;;;;;
59;A9;29;30;29;44;0,345;0,247;9.500;;;;;;;;;;;;;;;
60;A9;28;29;28;46;;;;;;;;;;;;;;;;;;
61;A9;27;30;29;48;;;;;;;;;;;;;;;;;;
62;A9;28;30;29;40;0,394;0,293;12.000;;;;;;;;;;;;;;;
63;A9;28;30;30;40;;;;;;;;;;;;;;;;;;
64;A9;29;31;30;40;;;;;;;;;;;;;;;;;;
65;A9;29;30;30;-;;;;;;;;;;;;;;;;;;
66;A9;29;30;30;44;0,531;0,183;13.500;;;;;;;;;;;;;;;
67;A9;29;31;30;-;;;;;;;;;;;;;;;;;;
68;A9;28;29;29;40;;;;;;;;;;;;;;;;;;
69;A9;27;29;29;40;0,453;0,227;12.000;;;;;;;;;;;;;;;
70;A9;28;30;30;42;;;;;;;;;;;;;;;;;;
71;A9;28;30;29;44;;;;;;;;;;;;;;;;;;
72;A9;28;30;29;-;;;;;;;;;;;;;;;;;;
73;A9;27;29;29;48;0,615;0,188;15.000;;;;;;;;;;;;;;;
74;A9;28;30;30;50;;;;;;;;;;;;;;;;;;
75;A9;28;30;29;54;;;;;;;;;;;;;;;;;;
76;A9;28;29;28;54;0,368;0,141;16.000;;;;;;;;;;;;;;;
77;A9;28;29;29;5;;;;;;;;;;;;;;;;;;
78;A9;28;30;29;40;;;;;;;;;;;;;;;;;;
79;A9;28;31;30;-;;;;;;;;;;;;;;;;;;
80;A9;29;30;29;34;0,556;0,319;18.000;;;;;;;;;;;;;;;
81;A9;28;29;29;40;;;;;;;;;;;;;;;;;;
82;A9;28;30;30;42;;;;;;;;;;;;;;;;;;
83;A9;28;30;29;42;0,683;0,177;16.000;;;;;;;;;;;;;;;
84;A9;28;30;29;42;;;;;;;;;;;;;;;;;;
85;A9;29;31;30;28;;;;;;;;;;;;;;;;;;
86;A9;29;31;30;-;;;;;;;;;;;;;;;;;;
87;A9;29;30;29;28;0,8;0,247;15.500;;;;;;;;;;;;;;;
88;A9;28;28;28;-;;;;;;;;;;;;;;;;;;
89;A9;27;29;28;40;;;;;;;;;;;;;;;;;;
90;A9;27;28;28;40;1,585;0,191;16.500;;;;;;;;;;;;;;;
91;A9;27;29;29;40;;;;;;;;;;;;;;;;;;
92;A9;28;29;29;40;;;;;;;;;;;;;;;;;;
93;A9;28;28;28;5;;;;;;;;;;;;;;;;;;
94;A9;27;28;28;-;;;;;;;;;;;;;;;;;;
1;AA10;29;30;30;3,5;;;;;;;;;;;;;;;;;;
2;AA10;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;AA10;29;32;31;4;0,418;0,061;2.000;;;;;;;;;;;;;;;
4;AA10;30;32;31;4;;;;;;;;;;;;;;;;;;
5;AA10;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;AA10;27;27;27;4,5;0,187;0,026;3.000;;;;;;;;;;;;;;;
7;AA10;26;29;29;5;;;;;;;;;;;;;;;;;;
8;AA10;28;30;29;5;;;;;;;;;;;;;;;;;;
9;AA10;28;29;29;6;;;;;;;;;;;;;;;;;;
10;AA10;28;29;28;6,5;0,256;0,048;6.000;;;;;;;;;;;;;;;
11;AA10;27;30;29;7;;;;;;;;;;;;;;;;;;
12;AA10;29;30;30;7,5;;;;;;;;;;;;;;;;;;
13;AA10;29;31;29;8;0,666;0,049;6.000;;;;;;;;;;;;;;;
14;AA10;29;30;30;8,5;;;;;;;;;;;;;;;;;;
15;AA10;29;31;30;9;;;;;;;;;;;;;;;;;;
16;AA10;29;32;31;9,5;;;;;;;;;;;;;;;;;;
17;AA10;29;32;30;10;0,755;0,133;3.000;;;;;;;;;;;;;;;
18;AA10;29;30;29;10;;;;;;;;;;;;;;;;;;
19;AA10;30;30;30;10,5;;;;;;;;;;;;;;;;;;
20;AA10;29;31;30;11;0,496;0,123;4.000;;;;;;;;;;;;;;;
21;AA10;29;31;30;12;;;;;;;;;;;;;;;;;;
